,0,1,2,3,4,5
139,Neil LaBute,Emile Ardolino,Jaume Collet-Serra,,,
140,Mark Steven Johnson,Paul Michael Glaser,Tom Hooper,,,
141,Peter Berg,Ron Underwood,David Koepp,,,
142,Mark Pellington,Jack Sholder,Tony Gilroy,,,
143,Jay Roach,George A. Romero,Simon Curtis,,,
144,David O. Russell,John Dahl,Asger Leth,,,
145,Tom Dey,Jonathan Kaplan,David Cronenberg,,,
146,McG,Fred Dekker,Richard LaGravenese,,,
<<<<<<< HEAD
147,"George Tillman, Jr.",David S. Ward,Brian Helgeland,,,
=======
147,George Tillman Jr.,David S. Ward,Brian Helgeland,,,
>>>>>>> gh-pages
148,Ben Stiller,John Irvin,Steve McQueen,,,
149,Jeff Tremaine,Jerry Zucker,Gavin Hood,,,
150,Larry Charles,Albert Pyun,John Wells,,,
151,John Hamburg,Bruce A. Evans,J.J. Abrams,,,
152,Rawson Marshall Thurber,Nicolas Roeg,Gilles Paquet-Brenner,,,
153,Vicky Jenson,Philip Kaufman,Denis Villeneuve,,,
154,Wes Anderson,Tobe Hooper,Peter Howitt,,,
155,Paul Haggis,Jon Turteltaub,John Maybury,,,
156,Rob Zombie,John Badham,Gregor Jordan,,,
157,Joe Carnahan,Jon Avnet,Isaac Florentine,,,
158,Josh Gordon,John Polson,Joss Whedon,,,
159,Gregg Araki,Alexandre Aja,Paul W.S. Anderson,,,
160,Joe Lynch,Christopher Cain,John Madden,,,
161,Ric Roman Waugh,Wayne Kramer,Oliver Parker,,,
162,Seth Gordon,Patrick Lussier,Nigel Cole,,,
163,Kyle Newman,Jonathan Hensleigh,Paul Weiland,,,
164,Gábor Csupó,Roel Reiné,Bruce Robinson,,,
165,David R. Ellis,Fisher Stevens,Albert Hughes,,,
166,Kirk Jones,Lewis Teague,Mel Smith,,,
167,Ti West,Tommy Lee Jones,Rob Bowman,,,
168,Noah Baumbach,Ernie Barbarash,David Twohy,,,
169,Nimród Antal,Geoff Murphy,Mark Herman,,,
170,Tim Hill,Denzel Washington,Niki Caro,,,
171,Jennifer Yuh Nelson,Barbet Schroeder,Joe Wright,,,
172,Raja Gosnell,Peter Farrelly,Geoffrey Sax,,,
173,Todd Strauss-Schulson,Robert Benton,Phyllida Lloyd,,,
174,Sam Liu,Jim Abrahams,Rian Johnson,,,
175,Rich Moore,Richard Marquand,Allen Coulter,,,
